Date,SP500Price,USDCADPrice,Close,Volume,CPI,EPS,PE
1/10/2022,4670.29,1.2678,142.529999,4055600,145.3,1.75,81.44571371
1/7/2022,4677.02,1.2644,141.75,2722100,145.3,1.75,81
1/6/2022,4696.05,1.273,139.809998,3194500,145.3,1.75,79.89142743
1/5/2022,4700.58,1.2752,138.320007,4038500,145.3,1.75,79.040004
1/4/2022,4793.54,1.2706,136.839996,3985400,145.3,1.75,78.19428343
12/31/2021,4766.18,1.2634,134.25,1345100,144,1.75,76.71428571
12/30/2021,4778.73,1.274,134.460007,1194100,144,1.75,76.83428971
12/29/2021,4793.06,1.2788,134.789993,2976300,144,1.75,77.02285314
12/23/2021,4725.78,1.2809,133.639999,3240000,144,1.75,76.36571371
12/22/2021,4696.56,1.2833,132.589996,1997800,144,1.75,75.765712
12/21/2021,4649.23,1.291,131.570007,2894100,144,1.75,75.18286114
12/20/2021,4568.02,1.2941,129.990005,2899800,144,1.75,74.28000286
12/17/2021,4620.64,1.2886,130.979996,5961000,144,1.75,74.845712
12/16/2021,4668.67,1.277,131.470001,2956200,144,1.75,75.12571486
12/15/2021,4709.84,1.283,130.320007,3652800,144,1.75,74.46857543
12/14/2021,4634.09,1.2861,128.619995,3126600,144,1.75,73.49714
12/13/2021,4669.15,1.2804,128.479996,5817900,144,1.75,73.41714057
12/10/2021,4712.02,1.272,130.179993,2047400,144,1.75,74.38856743
12/9/2021,4667.45,1.2713,129.729996,1911600,144,1.75,74.13142629
12/8/2021,4701.21,1.2651,129.639999,2190300,144,1.75,74.07999943
12/7/2021,4686.75,1.2638,130.320007,2130800,144,1.75,74.46857543
12/6/2021,4591.67,1.2754,129.059998,2192600,144,1.75,73.74857029
12/3/2021,4538.43,1.2842,128.639999,2465800,144,1.75,73.50857086
12/2/2021,4577.1,1.2808,128.139999,4880800,144,1.75,73.22285657
12/1/2021,4513.04,1.2817,125.739998,3430700,144,1.75,71.85142743
11/30/2021,4567,1.2776,126.300003,6322700,144.2,1.75,72.17143029
11/29/2021,4655.27,1.2738,129.729996,2570000,144.2,1.75,74.13142629
11/26/2021,4594.62,1.2786,130.699997,4572800,144.2,1.75,74.68571257
11/24/2021,4701.46,1.2666,132.110001,3294600,144.2,1.75,75.49142914
11/23/2021,4690.7,1.2664,131.669998,4005200,144.2,1.75,75.23999886
11/22/2021,4682.95,1.2698,131.630005,3220000,144.2,1.75,75.21714571
11/19/2021,4697.96,1.2638,131.960007,2757000,144.2,1.75,75.40571829
11/18/2021,4706.64,1.26,131.789993,1901000,144.2,1.75,75.30856743
11/17/2021,4688.67,1.2605,132.160004,3055400,144.2,1.75,75.52000229
11/16/2021,4700.9,1.256,132.649994,2085200,144.2,1.75,75.79999657
11/15/2021,4682.81,1.2511,132.449997,2723500,144.2,1.75,75.68571257
11/12/2021,4682.85,1.2542,133.220001,2711800,144.2,1.75,76.12571486
11/11/2021,4649.27,1.2577,133.220001,2117900,144.2,1.75,76.12571486
11/10/2021,4646.71,1.2489,132.389999,2139200,144.2,1.75,75.651428
11/9/2021,4685.25,1.2436,132.229996,3420700,144.2,1.75,75.55999771
11/8/2021,4701.7,1.2441,132,5270500,144.2,1.75,75.42857143
11/5/2021,4697.53,1.2454,132.070007,2915200,144.2,1.75,75.46857543
11/4/2021,4680.06,1.2455,132.509995,5728100,144.2,1.75,75.71999714
11/3/2021,4660.57,1.2389,132.169998,2443500,144.2,1.75,75.52571314
11/2/2021,4630.65,1.2409,130.690002,5414200,144.2,1.75,74.68000114
11/1/2021,4613.67,1.2367,129.300003,1956000,144.2,1.75,73.885716
10/29/2021,4605.38,1.2387,128.820007,4867800,143.9,1.92,67.09375365
10/28/2021,4596.42,1.2342,131.130005,1668600,143.9,1.92,68.2968776
10/27/2021,4551.68,1.2356,130.990005,3795300,143.9,1.92,68.22396094
10/26/2021,4574.79,1.2388,132.699997,11491100,143.9,1.92,69.11458177
10/25/2021,4566.48,1.2381,132.449997,7945000,143.9,1.92,68.98437344
10/22/2021,4544.9,1.2367,133.229996,2673700,143.9,1.92,69.39062292
10/21/2021,4549.78,1.2364,132.369995,1409700,143.9,1.92,68.94270573
10/20/2021,4536.19,1.2319,132.139999,12132500,143.9,1.92,68.82291615
10/19/2021,4519.63,1.2362,131.559998,3930900,143.9,1.92,68.52083229
10/18/2021,4486.48,1.2374,131.279999,10998800,143.9,1.92,68.37499948
10/15/2021,4471.37,1.2366,130.660004,2225400,143.9,1.92,68.05208542
